journey_ref,operating_day_ref,line_name,destination,stops_observed,avg_arrival_delay,max_arrival_delay,avg_departure_delay,max_departure_delay
ddb:90T06::H:j25:47,2025-11-08,RB 6,Stuttgart Hauptbahnhof (oben),5,8.75,14.0,6.75,7.0
ddb:90T06::R:j25:100,2025-11-08,RB 6,Rottenburg Bahnhof,5,5.75,7.0,5.5,6.0
ddb:90T06:A:H:j25:21,2025-11-08,RE 6,Aulendorf Bahnhof,14,3.46,8.0,3.46,7.0
ddb:90T06:A:R:j25:68,2025-11-08,RE 6,Stuttgart Hauptbahnhof (oben),14,6.86,14.0,4.86,8.0
ddb:90T12:S:R:j25:513,2025-11-08,MEX12,Heilbronn Hauptbahnhof,19,0.0,0.0,0.0,0.0
rab:24019::H:25a:146,2025-11-08,19,Rottenburg Bahnhof,13,0.0,0.0,0.0,0.0
rab:24019::H:25a:195,2025-11-08,19,Bühl Römerstraße,11,0.0,0.0,0.0,0.0
rab:24019::R:25a:43,2025-11-08,19,Tübingen Hauptbahnhof,11,0.0,0.0,0.0,0.0
rab:24019::R:25a:44,2025-11-08,19,Tübingen Hauptbahnhof,11,0.0,0.0,0.0,0.0
tub:07010::R:j25:12,2025-11-08,10,Tübingen Hauptbahnhof,29,0.33,1.0,0.32,1.0
tub:09001::R:j25:1201,2025-11-08,1,Tübingen Hauptbahnhof,9,0.0,0.0,0.0,0.0
tub:09002::H:j25:362,2025-11-08,2,Tübingen Hauptbahnhof,15,3.77,5.0,3.99,5.4
tub:09003::H:j25:807,2025-11-08,3,Tübingen Nelkenweg,30,0.12,0.6,0.27,0.9
tub:09003::R:j25:316,2025-11-08,3,Tübingen WHO Ulmenweg,30,0.07,0.5,0.1,0.5
tub:09003::R:j25:318,2025-11-08,3,Tübingen WHO Ulmenweg,30,0.0,0.0,0.0,0.0
tub:09004::R:j25:190,2025-11-08,4,Tübingen WHO Ulmenweg,27,1.39,6.9,1.27,7.2
tub:09004::R:j25:192,2025-11-08,4,Tübingen WHO Ulmenweg,27,0.13,0.7,0.1,0.7
tub:09005::H:j25:846,2025-11-08,5,Tübingen Hauptbahnhof,20,4.75,6.4,4.97,6.4
tub:09005::H:j25:847,2025-11-08,5,Tübingen Derend. Käppele,33,0.21,1.2,0.28,1.5
tub:09005::H:j25:851,2025-11-08,5,Tübingen Derend. Käppele,33,0.0,0.0,0.0,0.0
tub:09005::H:j25:855,2025-11-08,5,Tübingen Derend. Käppele,33,0.0,0.0,0.0,0.0
tub:09005::H:j25:859,2025-11-08,5,Tübingen Derend. Käppele,33,0.0,0.0,0.0,0.0
tub:09005::R:j25:316,2025-11-08,5,Tübingen WHO Ahornweg,33,0.0,0.0,0.0,0.0
tub:09005::R:j25:320,2025-11-08,5,Tübingen WHO Ahornweg,33,0.0,0.0,0.0,0.0
tub:09005::R:j25:324,2025-11-08,5,Tübingen WHO Ahornweg,33,0.0,0.0,0.0,0.0
tub:09005::R:j25:328,2025-11-08,5,Tübingen WHO Ahornweg,33,0.0,0.0,0.0,0.0
tub:09005::R:j25:332,2025-11-08,5,Tübingen WHO Ahornweg,33,0.0,0.0,0.0,0.0
