journey_ref,operating_day_ref,line_name,destination,stops_observed,avg_arrival_delay,max_arrival_delay,avg_departure_delay,max_departure_delay
tub:09006::H:j25:246,2025-11-08,6,Tübingen Hirschauer Straße,7,2.85,3.1,3.2,3.9
tub:09006::H:j25:247,2025-11-08,6,Tübingen Hirschauer Straße,7,0.0,0.0,0.0,0.0
tub:09006::H:j25:248,2025-11-08,6,Tübingen Hirschauer Straße,7,0.0,0.0,0.0,0.0
tub:09006::H:j25:249,2025-11-08,6,Tübingen Hirschauer Straße,7,0.0,0.0,0.0,0.0
tub:09006::H:j25:250,2025-11-08,6,Tübingen Hirschauer Straße,7,0.0,0.0,0.0,0.0
tub:09006::R:j25:58,2025-11-08,6,Tübingen Hauptbahnhof,7,1.57,2.3,1.98,2.5
tub:09006::R:j25:59,2025-11-08,6,Tübingen Hauptbahnhof,7,0.0,0.0,0.0,0.0
tub:09006::R:j25:60,2025-11-08,6,Tübingen Hauptbahnhof,7,0.0,0.0,0.0,0.0
tub:09006::R:j25:61,2025-11-08,6,Tübingen Hauptbahnhof,7,0.0,0.0,0.0,0.0
tub:09006::R:j25:62,2025-11-08,6,Tübingen Hauptbahnhof,7,0.0,0.0,0.0,0.0
tub:09007::R:j25:220,2025-11-08,7,Pfrondorf Lindenstraße,16,0.0,0.0,0.0,0.0
tub:09008::R:j25:437,2025-11-08,8,Hagelloch Dornäckerweg,17,0.02,0.3,0.02,0.3
tub:09009::H:j25:85,2025-11-08,9,Tübingen Hauptbahnhof,10,5.2,5.2,5.2,5.2
tub:09009::H:j25:86,2025-11-08,9,Tübingen Hauptbahnhof,10,0.0,0.0,0.0,0.0
tub:09009::H:j25:87,2025-11-08,9,Tübingen Hauptbahnhof,10,0.0,0.0,0.0,0.0
tub:09009::H:j25:88,2025-11-08,9,Tübingen Hauptbahnhof,10,0.0,0.0,0.0,0.0
tub:09009::R:j25:31,2025-11-08,9,Tübingen Bismarckturm,12,0.0,0.0,0.0,0.0
tub:09009::R:j25:32,2025-11-08,9,Tübingen Bismarckturm,12,0.0,0.0,0.0,0.0
tub:09009::R:j25:33,2025-11-08,9,Tübingen Bismarckturm,12,0.0,0.0,0.0,0.0
tub:09010::R:j25:173,2025-11-08,10,Tübingen Schwabstraße,12,6.0,6.0,6.0,6.0
tub:09011::H:j25:167,2025-11-08,11,Tübingen Hauptbahnhof,11,0.0,0.0,0.0,0.0
tub:09011::H:j25:169,2025-11-08,11,Tübingen Hauptbahnhof,11,0.0,0.0,0.0,0.0
tub:09011::H:j25:171,2025-11-08,11,Tübingen Hauptbahnhof,11,0.0,0.0,0.0,0.0
tub:09011::H:j25:173,2025-11-08,11,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09011::H:j25:175,2025-11-08,11,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09011::H:j25:177,2025-11-08,11,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09011::H:j25:179,2025-11-08,11,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09011::R:j25:59,2025-11-08,11,Tübingen Schwärzlocher Str. 45,12,3.9,3.9,3.9,3.9
tub:09011::R:j25:61,2025-11-08,11,Tübingen Schwärzlocher Str. 45,12,0.0,0.0,0.0,0.0
tub:09011::R:j25:63,2025-11-08,11,Tübingen Schwärzlocher Str. 45,12,0.0,0.0,0.0,0.0
tub:09012::H:j25:194,2025-11-08,12,Tübingen Hauptbahnhof,9,0.0,0.0,0.0,0.0
tub:09012::H:j25:196,2025-11-08,12,Tübingen Hauptbahnhof,9,0.0,0.0,0.0,0.0
tub:09012::H:j25:198,2025-11-08,12,Tübingen Hauptbahnhof,9,0.0,0.0,0.0,0.0
tub:09012::H:j25:200,2025-11-08,12,Tübingen Hauptbahnhof,9,0.0,0.0,0.0,0.0
tub:09012::R:j25:100,2025-11-08,12,Tübingen Weststadt,11,0.0,0.0,0.0,0.0
tub:09012::R:j25:92,2025-11-08,12,Tübingen Weststadt,11,0.0,0.0,0.01,0.1
tub:09012::R:j25:94,2025-11-08,12,Tübingen Weststadt,11,0.0,0.0,0.0,0.0
tub:09012::R:j25:96,2025-11-08,12,Tübingen Weststadt,11,0.0,0.0,0.0,0.0
tub:09012::R:j25:98,2025-11-08,12,Tübingen Weststadt,11,0.0,0.0,0.0,0.0
tub:09013::R:j25:106,2025-11-08,13,Tübingen Wilhelmstraße,11,0.07,0.5,0.07,0.5
tub:09013::R:j25:108,2025-11-08,13,Tübingen Wilhelmstraße,11,0.0,0.0,0.0,0.0
tub:09021::R:j25:92,2025-11-08,21,Tübingen Hauptbahnhof,12,0.0,0.0,0.0,0.0
tub:09022::R:j25:60,2025-11-08,22,Tübingen Hauptbahnhof,17,7.74,8.9,7.76,9.2
tub:09022::R:j25:61,2025-11-08,22,Tübingen Hauptbahnhof,17,0.3,0.3,0.3,0.3
tub:09022::R:j25:62,2025-11-08,22,Tübingen Hauptbahnhof,17,6.0,6.0,6.0,6.0
tub:09022::R:j25:63,2025-11-08,22,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09022::R:j25:64,2025-11-08,22,Tübingen Hauptbahnhof,17,2.4,2.4,2.4,2.4
tub:09022::R:j25:65,2025-11-08,22,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09022::R:j25:66,2025-11-08,22,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09022::R:j25:67,2025-11-08,22,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09022::R:j25:68,2025-11-08,22,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09022::R:j25:69,2025-11-08,22,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09022::R:j25:70,2025-11-08,22,Tübingen Hauptbahnhof,17,0.0,0.0,0.0,0.0
tub:09031::R:j25:63,2025-11-08,31,Kreßbach Schloss,13,0.0,0.0,0.0,0.0
tub:09090::H:j25:2,2025-11-09,N90,Tübingen Hauptbahnhof,26,0.0,0.0,0.0,0.0
tub:09090::H:j25:4,2025-11-09,N90,Tübingen Hauptbahnhof,26,0.0,0.0,0.0,0.0
tub:09090::H:j25:6,2025-11-09,N90,Tübingen Hauptbahnhof,26,0.0,0.0,0.0,0.0
tub:33018::H:j25:185,2025-11-08,18,Oberndorf Feuersee,12,0.0,0.0,0.0,0.0
tub:33018::H:j25:223,2025-11-08,18,Hirschau Volksbank,7,0.0,0.0,0.0,0.0
tub:33018::H:j25:224,2025-11-08,18,Hirschau Volksbank,7,0.0,0.0,0.0,0.0
tub:33018::R:j25:71,2025-11-08,18,Tübingen Hauptbahnhof,5,0.0,0.0,0.0,0.0
tub:33018::R:j25:72,2025-11-08,18,Tübingen Hauptbahnhof,5,0.0,0.0,0.0,0.0
tub:33018::R:j25:97,2025-11-08,18,Tübingen Hauptbahnhof,12,0.0,0.0,0.0,0.0
tub:80625::H:j25:101,2025-11-08,7625,Gomaringen ZOB,23,0.0,0.0,0.0,0.0
tub:80625::R:j25:21,2025-11-08,7625,Tübingen Hauptbahnhof,24,0.0,0.0,0.0,0.0
tub:80625::R:j25:44,2025-11-08,7625,Tübingen Hauptbahnhof,24,2.79,4.1,2.7,4.0
