phase,stop_point_ref,stop_name,stop_sequence,platform,arrival_planned,arrival_estimated,departure_planned,departure_estimated,arrival_delay_minutes,departure_delay_minutes,journey_ref,operating_day_ref,line_name,destination
previous,de:08416:11000:14:H,Tübingen Hauptbahnhof,1,Bstg. H,,,2025-11-08 17:04,2025-11-08 17:07,,3.9,tub:09006::H:j25:246,2025-11-08,6,Tübingen Hirschauer Straße
onward,de:08416:10044:0:1,Tübingen Neckarhalde,2,,2025-11-08 17:06,2025-11-08 17:09,2025-11-08 17:06,2025-11-08 17:09,3.1,3.1,tub:09006::H:j25:246,2025-11-08,6,Tübingen Hirschauer Straße
onward,de:08416:10045:0:1,Tübingen Biesingerstraße,3,,2025-11-08 17:07,2025-11-08 17:10,2025-11-08 17:07,2025-11-08 17:10,3.0,3.0,tub:09006::H:j25:246,2025-11-08,6,Tübingen Hirschauer Straße
onward,de:08416:10046:0:1,Tübingen Ernst-Bloch-Straße,4,,2025-11-08 17:08,2025-11-08 17:10,2025-11-08 17:08,2025-11-08 17:10,2.8,2.8,tub:09006::H:j25:246,2025-11-08,6,Tübingen Hirschauer Straße
onward,de:08416:10047:0:1,Tübingen Hennentalweg,5,,2025-11-08 17:09,2025-11-08 17:11,2025-11-08 17:09,,2.5,,tub:09006::H:j25:246,2025-11-08,6,Tübingen Hirschauer Straße
onward,de:08416:10016:0:4,Tübingen Rappenberg,6,,2025-11-08 17:09,,2025-11-08 17:09,,,,tub:09006::H:j25:246,2025-11-08,6,Tübingen Hirschauer Straße
onward,de:08416:10048:0:4,Tübingen Hirschauer Straße,7,,2025-11-08 17:10,,,,,,tub:09006::H:j25:246,2025-11-08,6,Tübingen Hirschauer Straße
onward,de:08416:10047:0:1,Tübingen Hennentalweg,1,,,,2025-11-08 17:09,2025-11-08 17:11,,2.5,tub:09006::R:j25:58,2025-11-08,6,Tübingen Hauptbahnhof
onward,de:08416:10016:0:4,Tübingen Rappenberg,2,,2025-11-08 17:09,2025-11-08 17:12,2025-11-08 17:09,2025-11-08 17:12,2.3,2.3,tub:09006::R:j25:58,2025-11-08,6,Tübingen Hauptbahnhof
onward,de:08416:10048:0:4,Tübingen Hirschauer Straße,3,,2025-11-08 17:10,2025-11-08 17:12,2025-11-08 17:10,2025-11-08 17:12,2.2,2.2,tub:09006::R:j25:58,2025-11-08,6,Tübingen Hauptbahnhof
