stop_id,stop_point_ref,stop_name,planned_time,estimated_time,line_name,destination,platform,journey_ref,operating_day_ref,delay_minutes,latitude,longitude,weather_timestamp,temperature,precipitation_mm,wind_speed_ms,wind_direction_deg,cloud_cover,pressure_hpa,relative_humidity,condition,icon,weather_source_id,weather_station_name
de:08416:10044,de:08416:10044:0:1,Tübingen Neckarhalde,2025-11-09 09:37,2025-11-09 09:37,6,Tübingen Hirschauer Straße,,tub:09006::H:j25:266,2025-11-09,0.0,48.51764,9.04762,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:10044,de:08416:10044:0:1,Tübingen Neckarhalde,2025-11-09 10:07,2025-11-09 10:07,6,Tübingen Hirschauer Straße,,tub:09006::H:j25:267,2025-11-09,0.0,48.51764,9.04762,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:10044,de:08416:10044:0:4,Tübingen Neckarhalde,2025-11-09 09:43,2025-11-09 09:43,6,Tübingen Hauptbahnhof,,tub:09006::R:j25:78,2025-11-09,0.0,48.51764,9.04762,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:10044,de:08416:10044:0:4,Tübingen Neckarhalde,2025-11-09 10:13,2025-11-09 10:13,6,Tübingen Hauptbahnhof,,tub:09006::R:j25:79,2025-11-09,0.0,48.51764,9.04762,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:11:B,Tübingen Hauptbahnhof,2025-11-09 09:32,2025-11-09 09:32,5,Tübingen WHO Ahornweg,Bstg. B,tub:09005::R:j25:387,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:11:B,Tübingen Hauptbahnhof,2025-11-09 10:02,2025-11-09 10:02,5,Tübingen WHO Ahornweg,Bstg. B,tub:09005::R:j25:390,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:12:F,Tübingen Hauptbahnhof,2025-11-09 09:32,2025-11-09 09:32,4,Tübingen Wennf. Garten,Bstg. F,tub:09004::H:j25:530,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:12:F,Tübingen Hauptbahnhof,2025-11-09 10:02,2025-11-09 10:02,4,Tübingen Wennf. Garten,Bstg. F,tub:09004::H:j25:532,2025-11-09,0.6,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:13:M,Tübingen Hauptbahnhof,2025-11-09 09:32,2025-11-09 09:32,828,Echterdingen Flughafen/Messe (SAB),Bstg. M,vvs:31828::R:j25:210,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:13:M,Tübingen Hauptbahnhof,2025-11-09 10:12,,X82,Echterdingen Flughafen/Messe (SAB),Bstg. M,vvs:31X82::R:j25:54,2025-11-09,,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:14:I,Tübingen Hauptbahnhof,2025-11-09 09:32,2025-11-09 09:32,9,Tübingen Bismarckturm,Bstg. I,tub:09009::R:j25:41,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:14:I,Tübingen Hauptbahnhof,2025-11-09 10:02,2025-11-09 10:02,11,Tübingen Schwärzlocher Str. 45,Bstg. I,tub:09011::R:j25:81,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:11:A,Tübingen Hauptbahnhof,2025-11-09 09:32,2025-11-09 09:32,2,Tübingen WHO Ulmenweg,Bstg. A,tub:09002::R:j25:148,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:11:A,Tübingen Hauptbahnhof,2025-11-09 09:46,2025-11-09 09:46,3,Tübingen WHO Ulmenweg,Bstg. A,tub:09003::R:j25:369,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000:11:A,Tübingen Hauptbahnhof,2025-11-09 09:48,2025-11-09 09:48,6,Tübingen Sand Drosselweg,Bstg. A,tub:09006::R:j25:144,2025-11-09,0.0,48.51624,9.05388,2025-11-09 09:00,7.0,0.0,2.9,160,100,1018.5,94,dry,cloudy,64012,Rottenburg-Kiebingen
