stop_id,trias_ref,stop_name,latitude,longitude,probability,stop_point_ref,platform,weather_timestamp,temperature,precipitation_mm,wind_speed_ms,wind_direction_deg,cloud_cover,pressure_hpa,relative_humidity,condition,icon,weather_source_id,weather_station_name
de:08416:10044,de:08416:10044,Tübingen Neckarhalde,48.51764,9.04762,0.830829024,de:08416:10044,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000,Tübingen Hauptbahnhof,48.51624,9.05388,0.78678757,de:08416:11000,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10045,de:08416:10045,Tübingen Biesingerstraße,48.51682,9.0437,0.711658001,de:08416:10045,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10014,de:08416:10014,Tübingen Haagtor,48.52071,9.04877,0.69870466,de:08416:10014,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10501,de:08416:10501,Tübingen Neckarbrücke,48.51863,9.05795,0.680569947,de:08416:10501,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10046,de:08416:10046,Tübingen Ernst-Bloch-Straße,48.51521,9.04207,0.652072549,de:08416:10046,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10056,de:08416:10056,Tübingen Gerstenmühlstr.,48.52059,9.04682,0.646891177,de:08416:10056,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10017,de:08416:10017,Tübingen Weberstraße,48.52216,9.04846,0.633937836,de:08416:10017,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10499,de:08416:10499,Tübingen Mühlstraße,48.51948,9.05861,0.626165748,de:08416:10499,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10518,de:08416:10518,Tübingen Poststraße,48.51696,9.05935,0.618393779,de:08416:10518,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10040,de:08416:10040,Tübingen Schleifmühleweg,48.52053,9.04442,0.579533696,de:08416:10040,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10052,de:08416:10052,Tübingen Schwärzlocher Str. 45,48.51931,9.04412,0.574352324,de:08416:10052,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10018,de:08416:10018,Tübingen Kelternplatz,48.52285,9.05075,0.574352324,de:08416:10018,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10039,de:08416:10039,Tübingen Hermann Hepper Halle,48.52232,9.04641,0.569170952,de:08416:10039,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10700,de:08416:10700,Tübingen Hegelstraße,48.51346,9.05136,0.566580296,de:08416:10700,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10904,de:08416:10904,Tübingen Freibad,48.51051,9.04342,0.566580296,de:08416:10904,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10044,de:08416:10044,Tübingen Neckarhalde,48.51764,9.04762,0.830829024,de:08416:10044:0:4,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:10044,de:08416:10044,Tübingen Neckarhalde,48.51764,9.04762,0.830829024,de:08416:10044:0:1,,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000,Tübingen Hauptbahnhof,48.51624,9.05388,0.78678757,de:08416:11000:14:G,Bstg. G,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000,Tübingen Hauptbahnhof,48.51624,9.05388,0.78678757,de:08416:11000:2:13,13,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000,Tübingen Hauptbahnhof,48.51624,9.05388,0.78678757,de:08416:11000:12:D,Bstg. D,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
de:08416:11000,de:08416:11000,Tübingen Hauptbahnhof,48.51624,9.05388,0.78678757,de:08416:11000:13:M,Bstg. M,2025-11-11 17:00,11.8,0.0,5.8,30,63,1017.0,75,dry,partly-cloudy-night,64012,Rottenburg-Kiebingen
