phase,stop_point_ref,stop_name,stop_sequence,platform,arrival_planned,arrival_estimated,departure_planned,departure_estimated,arrival_delay_minutes,departure_delay_minutes,journey_ref,operating_day_ref,line_name,destination
previous,fr:24075:11171:0:Flix,Paris Bercy Seine,1,,,,2025-11-11 09:05:00,2025-11-11 09:05:00,,0.0,bus:02336::H:f5z:1,2025-11-11,336,ZOB
previous,fr:24077:1444:0:Flix,Chessy Sud,2,,2025-11-11 09:45:00,2025-11-11 09:45:00,2025-11-11 09:45:00,2025-11-11 09:45:00,0.0,0.0,bus:02336::H:f5z:1,2025-11-11,336,ZOB
previous,fr:24067:1301,Strasbourg Etoile Bourse,3,,2025-11-11 15:05:00,2025-11-11 15:05:00,2025-11-11 15:15:00,2025-11-11 15:15:00,0.0,0.0,bus:02336::H:f5z:1,2025-11-11,336,ZOB
previous,de:08317:14509:1:1,Offenburg Messe Offenburg,4,,2025-11-11 15:50:00,2025-11-11 15:50:00,2025-11-11 15:55:00,2025-11-11 15:55:00,0.0,0.0,bus:02336::H:f5z:1,2025-11-11,336,ZOB
previous,de:08237:1002:2:8,FDS Stadtbahnhof,5,Bstg. 8,2025-11-11 17:10:00,2025-11-11 17:10:00,2025-11-11 17:10:00,2025-11-11 17:10:00,0.0,0.0,bus:02336::H:f5z:1,2025-11-11,336,ZOB
onward,de:08416:11000,Tübingen Hauptbahnhof,6,,2025-11-11 18:05:00,2025-11-11 18:05:00,2025-11-11 18:10:00,2025-11-11 18:10:00,0.0,0.0,bus:02336::H:f5z:1,2025-11-11,336,ZOB
onward,de:08116:2103:3:1,Flughafen/Messe,7,Bstg. 1,2025-11-11 18:40:00,2025-11-11 18:40:00,2025-11-11 18:50:00,2025-11-11 18:50:00,0.0,0.0,bus:02336::H:f5z:1,2025-11-11,336,ZOB
onward,de:08421:1699:0:1,Ulm Fernbus-Halt,8,,2025-11-11 19:50:00,2025-11-11 19:50:00,2025-11-11 19:55:00,2025-11-11 19:55:00,0.0,0.0,bus:02336::H:f5z:1,2025-11-11,336,ZOB
onward,de:09162:145:17:17,ZOB,9,,2025-11-11 21:30:00,2025-11-11 21:30:00,,,0.0,,bus:02336::H:f5z:1,2025-11-11,336,ZOB
previous,cz:55100:NVBW_99711,Praha Florenc/Busbahnhof,1,,,,2025-11-11 09:20:00,2025-11-11 09:20:00,,0.0,bus:02283:A:H:f5z:2,2025-11-11,283A,"Zürich, Bus Station"
