stop_id,trias_ref,stop_name,latitude,longitude,probability,weather_timestamp,temperature,precipitation_mm,wind_speed_ms,wind_direction_deg,cloud_cover,pressure_hpa,relative_humidity,condition,icon
de:08416:10044,de:08416:10044,Tübingen Neckarhalde,48.51764,9.04762,0.830829024,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:10044#2,de:08416:10044,Tübingen Neckarhalde,48.51774,9.04754,0.828238308,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000,de:08416:11000,Tübingen Hauptbahnhof,48.51624,9.05388,0.78678757,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#2,de:08416:11000,Tübingen Hauptbahnhof,48.51631,9.05444,0.779015541,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#3,de:08416:11000,Tübingen Hauptbahnhof,48.51634,9.05461,0.773834169,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#4,de:08416:11000,Tübingen Hauptbahnhof,48.51589,9.05287,0.771243513,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#5,de:08416:11000,Tübingen Hauptbahnhof,48.51602,9.0534,0.768652856,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#6,de:08416:11000,Tübingen Hauptbahnhof,48.51598,9.05319,0.763471484,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#7,de:08416:11000,Tübingen Hauptbahnhof,48.51603,9.05359,0.763471484,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#8,de:08416:11000,Tübingen Hauptbahnhof,48.51623,9.05354,0.760880828,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#9,de:08416:11000,Tübingen Hauptbahnhof,48.51674,9.05545,0.760880828,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#10,de:08416:11000,Tübingen Hauptbahnhof,48.51605,9.0538,0.758290172,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#11,de:08416:11000,Tübingen Hauptbahnhof,48.51587,9.05393,0.758290172,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#12,de:08416:11000,Tübingen Hauptbahnhof,48.51641,9.05517,0.758290172,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#13,de:08416:11000,Tübingen Hauptbahnhof,48.51608,9.054,0.750518143,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#14,de:08416:11000,Tübingen Hauptbahnhof,48.51634,9.05532,0.750518143,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#15,de:08416:11000,Tübingen Hauptbahnhof,48.51638,9.05555,0.747927427,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#16,de:08416:11000,Tübingen Hauptbahnhof,48.5161,9.05526,0.742746115,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#18,de:08416:11000,Tübingen Hauptbahnhof,48.516,9.05521,0.740155458,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#17,de:08416:11000,Tübingen Hauptbahnhof,48.5163,9.05481,0.740155458,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#19,de:08416:11000,Tübingen Hauptbahnhof,48.51658,9.0558,0.734974086,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#20,de:08416:11000,Tübingen Hauptbahnhof,48.51664,9.0559,0.73238343,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#21,de:08416:11000,Tübingen Hauptbahnhof,48.51648,9.05591,0.727202058,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#22,de:08416:11000,Tübingen Hauptbahnhof,48.51671,9.05601,0.727202058,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#23,de:08416:11000,Tübingen Hauptbahnhof,48.51642,9.05593,0.724611402,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#25,de:08416:11000,Tübingen Hauptbahnhof,48.51658,9.05619,0.722020745,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#26,de:08416:11000,Tübingen Hauptbahnhof,48.51658,9.05621,0.722020745,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#24,de:08416:11000,Tübingen Hauptbahnhof,48.5159,9.0557,0.722020745,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
de:08416:11000#27,de:08416:11000,Tübingen Hauptbahnhof,48.51648,9.05637,0.714248657,2025-11-08 11:00,3.6,0.0,3.2,130,100,1016.2,89,dry,cloudy
