stop_id,stop_point_ref,stop_name,planned_time,estimated_time,line_name,destination,platform,journey_ref,operating_day_ref,delay_minutes
de:08416:10518,de:08416:10518:0:4,Tübingen Poststraße,2025-11-08 17:33:36,2025-11-08 17:33:36,1,Tübingen Hauptbahnhof,,tub:09001::R:j25:1201,2025-11-08,0.0
de:08416:10518,de:08416:10518:0:4,Tübingen Poststraße,2025-11-08 17:19:00,2025-11-08 17:19:12,10,Tübingen Hauptbahnhof,,tub:07010::R:j25:12,2025-11-08,0.2
de:08416:11000,de:08416:11000:12:D,Tübingen Hauptbahnhof,2025-11-08 17:04:00,2025-11-08 17:10:00,10,Tübingen Schwabstraße,Bstg. D,tub:09010::R:j25:173,2025-11-08,6.0
de:08416:10014,de:08416:10014:1:4,Tübingen Haagtor,2025-11-08 17:35:06,,11,Tübingen Hauptbahnhof,,tub:09011::H:j25:167,2025-11-08,
de:08416:10018,de:08416:10018:0:1,Tübingen Kelternplatz,2025-11-08 17:25:00,2025-11-08 17:28:54,11,Tübingen Schwärzlocher Str. 45,,tub:09011::R:j25:59,2025-11-08,3.9
de:08416:10039,de:08416:10039:0:4,Tübingen Hermann Hepper Halle,2025-11-08 17:24:30,2025-11-08 17:24:30,12,Tübingen Hauptbahnhof,,tub:09012::H:j25:194,2025-11-08,0.0
de:08416:10018,de:08416:10018:0:1,Tübingen Kelternplatz,2025-11-08 17:10:00,2025-11-08 17:10:00,12,Tübingen Weststadt,,tub:09012::R:j25:92,2025-11-08,0.0
de:08416:10518,de:08416:10518:0:4,Tübingen Poststraße,2025-11-08 17:14:24,2025-11-08 17:14:54,13,Tübingen Wilhelmstraße,,tub:09013::R:j25:106,2025-11-08,0.5
de:08416:11000,de:08416:11000:14:G,Tübingen Hauptbahnhof,2025-11-08 17:06:00,2025-11-08 17:06:00,18,Hirschau Volksbank,Bstg. G,tub:33018::H:j25:223,2025-11-08,0.0
de:08416:10904,de:08416:10904:0:1,Tübingen Freibad,2025-11-08 17:38:00,,18,Oberndorf Feuersee,,tub:33018::H:j25:185,2025-11-08,
de:08416:10904,de:08416:10904:0:4,Tübingen Freibad,2025-11-08 17:19:00,2025-11-08 17:19:00,18,Tübingen Hauptbahnhof,,tub:33018::R:j25:71,2025-11-08,0.0
de:08416:10904,de:08416:10904:0:1,Tübingen Freibad,2025-11-08 18:01:00,,19,Bühl Römerstraße,,rab:24019::H:25a:195,2025-11-08,
de:08416:10904,de:08416:10904:0:1,Tübingen Freibad,2025-11-08 17:31:00,,19,Rottenburg Bahnhof,,rab:24019::H:25a:146,2025-11-08,
de:08416:10904,de:08416:10904:0:4,Tübingen Freibad,2025-11-08 17:25:00,,19,Tübingen Hauptbahnhof,,rab:24019::R:25a:43,2025-11-08,
de:08416:10501,de:08416:10501:0:4,Tübingen Neckarbrücke,2025-11-08 17:11:54,2025-11-08 17:15:18,2,Tübingen Hauptbahnhof,,tub:09002::H:j25:362,2025-11-08,3.4
de:08416:10501,de:08416:10501:0:4,Tübingen Neckarbrücke,2025-11-08 17:12:54,2025-11-08 17:12:54,21,Tübingen Hauptbahnhof,,tub:09021::R:j25:92,2025-11-08,0.0
de:08416:10501,de:08416:10501:0:4,Tübingen Neckarbrücke,2025-11-08 16:56:54,2025-11-08 17:05:36,22,Tübingen Hauptbahnhof,,tub:09022::R:j25:60,2025-11-08,8.7
de:08416:11000,de:08416:11000:12:E,Tübingen Hauptbahnhof,2025-11-08 17:06:00,2025-11-08 17:06:00,3,Tübingen Nelkenweg,Bstg. E,tub:09003::H:j25:807,2025-11-08,0.0
de:08416:10501,de:08416:10501:0:3,Tübingen Neckarbrücke,2025-11-08 17:14:24,2025-11-08 17:14:24,3,Tübingen WHO Ulmenweg,,tub:09003::R:j25:316,2025-11-08,0.0
de:08416:10700,de:08416:10700:0:1,Tübingen Hegelstraße,2025-11-08 17:48:00,,31,Kreßbach Schloss,,tub:09031::R:j25:63,2025-11-08,
de:08416:10501,de:08416:10501:0:3,Tübingen Neckarbrücke,2025-11-08 17:04:24,2025-11-08 17:06:42,4,Tübingen WHO Ulmenweg,,tub:09004::R:j25:190,2025-11-08,2.3
de:08416:10700,de:08416:10700:0:1,Tübingen Hegelstraße,2025-11-08 17:30:12,2025-11-08 17:30:12,5,Tübingen Derend. Käppele,,tub:09005::H:j25:847,2025-11-08,0.0
de:08416:10501,de:08416:10501:0:4,Tübingen Neckarbrücke,2025-11-08 17:06:54,2025-11-08 17:10:42,5,Tübingen Hauptbahnhof,,tub:09005::H:j25:846,2025-11-08,3.8
de:08416:10518,de:08416:10518:0:4,Tübingen Poststraße,2025-11-08 17:28:18,2025-11-08 17:28:18,5,Tübingen WHO Ahornweg,,tub:09005::R:j25:316,2025-11-08,0.0
de:08416:10044,de:08416:10044:0:4,Tübingen Neckarhalde,2025-11-08 17:13:18,2025-11-08 17:14:36,6,Tübingen Hauptbahnhof,,tub:09006::R:j25:58,2025-11-08,1.3
de:08416:10044,de:08416:10044:0:1,Tübingen Neckarhalde,2025-11-08 17:06:24,2025-11-08 17:09:30,6,Tübingen Hirschauer Straße,,tub:09006::H:j25:246,2025-11-08,3.1
de:08416:10501,de:08416:10501:0:2,Tübingen Neckarbrücke,2025-11-08 17:09:24,2025-11-08 17:09:24,7,Pfrondorf Lindenstraße,,tub:09007::R:j25:220,2025-11-08,0.0
de:08416:11000,de:08416:11000:15:N,Tübingen Hauptbahnhof,2025-11-08 17:05:00,2025-11-08 17:05:00,7625,Gomaringen ZOB,Bstg. N,tub:80625::H:j25:101,2025-11-08,0.0
de:08416:10518,de:08416:10518:0:4,Tübingen Poststraße,2025-11-08 17:19:00,2025-11-08 17:21:06,7625,Tübingen Hauptbahnhof,,tub:80625::R:j25:44,2025-11-08,2.1
de:08416:10501,de:08416:10501:0:2,Tübingen Neckarbrücke,2025-11-08 17:07:00,2025-11-08 17:07:18,8,Hagelloch Dornäckerweg,,tub:09008::R:j25:437,2025-11-08,0.3
de:08416:10014,de:08416:10014:2:8,Tübingen Haagtor,2025-11-08 17:56:42,2025-11-08 17:56:42,9,Tübingen Bismarckturm,,tub:09009::R:j25:31,2025-11-08,0.0
de:08416:10014,de:08416:10014:1:4,Tübingen Haagtor,2025-11-08 17:09:12,2025-11-08 17:14:24,9,Tübingen Hauptbahnhof,,tub:09009::H:j25:85,2025-11-08,5.2
de:08416:11000,de:08416:11000:4:5,Tübingen Hauptbahnhof,2025-11-08 17:05:00,2025-11-08 17:05:00,MEX12,Heilbronn Hauptbahnhof,5,ddb:90T12:S:R:j25:513,2025-11-08,0.0
de:08416:10052,de:08416:10052:0:4,Tübingen Schwärzlocher Str. 45,2025-11-09 01:21:00,,N90,Tübingen Hauptbahnhof,,tub:09090::H:j25:2,2025-11-09,
de:08416:11000,de:08416:11000:3:2,Tübingen Hauptbahnhof,2025-11-08 17:03:00,2025-11-08 17:09:00,RB 6,Rottenburg Bahnhof,2 A-B,ddb:90T06::R:j25:100,2025-11-08,6.0
de:08416:11000,de:08416:11000:3:3,Tübingen Hauptbahnhof,2025-11-08 17:00:00,2025-11-08 17:06:00,RB 6,Stuttgart Hauptbahnhof (oben),12,ddb:90T06::H:j25:47,2025-11-08,6.0
de:08416:11000,de:08416:11000:3:2,Tübingen Hauptbahnhof,2025-11-08 17:00:00,2025-11-08 17:06:00,RE 6,Aulendorf Bahnhof,2 C-D,ddb:90T06:A:H:j25:21,2025-11-08,6.0
de:08416:11000,de:08416:11000:3:3,Tübingen Hauptbahnhof,2025-11-08 17:00:00,2025-11-08 17:06:00,RE 6,Stuttgart Hauptbahnhof (oben),3,ddb:90T06:A:R:j25:68,2025-11-08,6.0
