group,n,mean,median,ci95_mean_low,ci95_mean_high,ci95_median_low,ci95_median_high,late_share,n_total,n_late
date=2025-12-21,1720,0.10813953488372093,0.0,0.08482412790697673,0.13174854651162787,0.0,0.0,,,
date=2025-12-25,1717,0.0937682003494467,0.0,0.06971461852067559,0.12062317996505527,0.0,0.0,,,
date=2025-12-26,1709,0.17495611468695144,0.0,0.11877998829724985,0.2403788765359859,0.0,0.0,,,
date=2026-01-04,1646,0.09459295261239367,0.0,0.06913730255164034,0.12284477521263669,0.0,0.0,,,
date=2026-01-06,1644,0.20200729927007297,0.0,0.15675030413625302,0.2515313260340632,0.0,0.0,,,
date=2025-12-28,1626,0.09538745387453874,0.0,0.07385762607626077,0.11857472324723245,0.0,0.0,,,
date=2025-12-24,1625,0.3339076923076923,0.0,0.24405076923076927,0.42899692307692305,0.0,0.0,,,
date=2026-01-18,1561,0.15022421524663676,0.0,0.11018417680973736,0.20219891095451623,0.0,0.0,,,
date=2025-11-13,1524,0.847244094488189,0.0,0.7215830052493438,0.9827444225721786,0.0,0.0,,,
hour=2,1472,0.8936820652173914,0.0,0.7408491847826087,1.069500679347826,0.0,0.1,,,
date=2025-12-14,1410,0.2836170212765957,0.0,0.2340372340425532,0.3381613475177304,0.0,0.0,,,
"stop_busyness_bin=(0.999, 16179.0] | daypart=Nacht (0-5)",1317,1.117995444191344,0.0,0.8985554290053153,1.340392938496583,0.0,0.0,,,
hour=5,1304,0.3120398773006135,0.0,0.19693059815950925,0.4436407208588957,0.0,0.0,,,
date=2025-11-15,1183,0.2702451394759087,0.0,0.22958368554522404,0.3148774302620456,0.0,0.0,,,
hour=0,1115,0.39730941704035877,0.0,0.22489461883408077,0.6065538116591928,0.0,0.0,,,
hour=1,1051,1.121503330161751,0.0,0.8643886774500475,1.4236703139866789,0.0,0.0,,,
date=2025-11-23,1050,0.3857142857142857,0.0,0.2246571428571429,0.5821119047619047,0.0,0.0,,,
hour=3,936,1.33482905982906,0.0,1.0878178418803417,1.5944711538461538,0.0,0.1,,,
date=2025-11-16,794,0.16221662468513856,0.0,0.11775503778337532,0.21122166246851376,0.0,0.0,,,
stop_name=Tübingen Schwärzlocher Str. 45,747,0.5010709504685408,0.0,0.3654618473895582,0.68179718875502,0.0,0.0,,,
condition=hail,739,0.20135317997293642,0.0,0.14559878213802438,0.2629296346414073,0.0,0.0,,,
condition=sleet,445,0.19752808988764045,0.0,0.13976966292134832,0.25798314606741574,0.0,0.0,,,
date=2025-11-11,335,0.32567164179104474,0.0,0.17608208955223886,0.5039104477611939,0.0,0.0,,,
precip_bin=2-10,234,1.805128205128205,0.0,1.3705021367521366,2.274391025641026,0.0,0.0,,,
