line_name,count,destinations,stops
MEX12,37,"['Heilbronn Hauptbahnhof', 'Stuttgart Hauptbahnhof (oben)']",['Tübingen Hauptbahnhof']
828,36,['Echterdingen Flughafen/Messe (SAB)'],['Tübingen Hauptbahnhof']
MEX18,36,['Heilbronn Hauptbahnhof'],['Tübingen Hauptbahnhof']
N94,30,['Tübingen Hauptbahnhof'],"['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke']"
N96,30,['Tübingen Hauptbahnhof'],"['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke']"
7612,29,"['Gomaringen ZOB', 'Tübingen Hauptbahnhof']","['Tübingen Hauptbahnhof', 'Tübingen Hegelstraße']"
N91,28,['Tübingen Hauptbahnhof'],"['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke']"
N92,25,['Tübingen Hauptbahnhof'],"['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke']"
N93,24,['Tübingen Hauptbahnhof'],"['Tübingen Neckarbrücke', 'Tübingen Hauptbahnhof']"
826,24,['Leinfelden Bf'],['Tübingen Hauptbahnhof']
827,24,"['Häslach Rathaus', 'Pfrondorf Sophienpflege']",['Tübingen Hauptbahnhof']
N88,23,['Tübingen Hauptbahnhof'],"['Tübingen Hauptbahnhof', 'Tübingen Hegelstraße', 'Tübingen Freibad']"
RB 6,20,"['Rottenburg Bahnhof', 'Stuttgart Hauptbahnhof (oben)']",['Tübingen Hauptbahnhof']
N98,20,['Tübingen Hauptbahnhof'],"['Tübingen Hauptbahnhof', 'Tübingen Freibad']"
N97,20,['Tübingen Hauptbahnhof'],"['Tübingen Hauptbahnhof', 'Tübingen Neckarbrücke']"
N95,19,['Tübingen Hauptbahnhof'],"['Tübingen Hauptbahnhof', 'Tübingen Poststraße']"
RE 6,15,"['Stuttgart Hauptbahnhof (oben)', 'Aulendorf Bahnhof', 'Bad Urach']",['Tübingen Hauptbahnhof']
101,9,"['Freiburg Hauptbahnhof', 'Reutlingen Hauptbahnhof', 'ZOB']",['Tübingen Hauptbahnhof']
336,9,"['ZOB', 'Paris Bercy Seine']",['Tübingen Hauptbahnhof']
N177,9,"[""Genova (I) Fanti d'Italia / Principe F.S."", 'D-Worringer Platz,W57']",['Tübingen Hauptbahnhof']
826A,6,['Dettenhausen Altes Rathaus'],['Tübingen Hauptbahnhof']
N87,4,['Tübingen Hauptbahnhof'],['Tübingen Hauptbahnhof']
N84,4,['Tübingen Hauptbahnhof'],['Tübingen Hauptbahnhof']
N82,4,"[""K'furt Südring Berg""]",['Tübingen Hauptbahnhof']
N81,4,['Reutlingen Stadtmitte'],['Tübingen Hauptbahnhof']
7601,4,"['Wannweil Albblick', 'Tübingen Hauptbahnhof']","['Tübingen Hauptbahnhof', 'Tübingen Poststraße']"
008,4,"['Reutlingen Hauptbahnhof', 'Freiburg Hauptbahnhof']",['Tübingen Hauptbahnhof']
E,3,['Tübingen Paul-Dietz-Straße'],['Tübingen Hauptbahnhof']
RB63,3,['Tübingen Westbahnhof'],['Tübingen Hauptbahnhof']
283,3,"['Zürich, Bus Station']",['Tübingen Hauptbahnhof']
N80,2,['Herrenberg'],['Tübingen Hauptbahnhof']
283A,2,"['Zürich, Bus Station']",['Tübingen Hauptbahnhof']
