period,n,mean,median,ci95_low,ci95_high,p90,late_pct
1_Before_Schedule_Change,691344,0.6079844476845102,0.0,0.5990424774063273,0.6185913524960079,1.4,18.046442870698236
2_After_Change_Before_Holiday,330281,0.29249215062325723,0.0,0.28680556102228105,0.2984796506611038,0.5,13.007711615260945
3_Holiday_Period,191088,0.25152076530185047,0.0,0.24386145388512093,0.2596108075860336,0.4,12.327828016411287
4_After_Holiday,507104,0.36435090237899925,0.0,0.3583231496892155,0.3704401316100838,0.6,13.180136618918405
