stop_name,latitude,longitude,stop_ref
Bernhausen Nord-West-Ring,48.68446,9.21872,
Bernhausen Klinkernfeld,48.67722,9.22592,
Bernhausen Karlstraße,48.67768,9.228,
Bernhausen Rosenstraße,48.67776,9.21153,
Bernhausen Neuhäuser Str.,48.67936,9.22779,
Bernh. Filder-Airport-Areal,48.68369,9.21335,
Bernhausen Mühlenbuckel,48.67574,9.22785,
Bernhausen Johanneskirche,48.67844,9.2078,
Genkingen Ruoffseck,48.42336,9.20889,
Pfrondorf Lusstraße,48.54615,9.11589,
Tübingen Freibad,48.51019,9.04283,
Tübingen Stauffenbergstraße,48.52223,9.0712,
Tübingen Kleiststraße,48.52168,9.06883,
Tübingen Rechter Österberg,48.5216,9.07199,
Tübingen Fritz-Bauer-Straße,48.52287,9.07466,
Tübingen Schwabstraße,48.52065,9.0677,
Tübingen Österberg,48.52293,9.07782,
Tübingen Sand Drosselweg,48.53625,9.06888,
Tübingen Amselweg,48.53849,9.06912,
Tübingen Sand Nordring,48.53782,9.0672,
Tübingen Sperberweg,48.54047,9.06809,
Tübingen Bei den Römergräbern,48.54145,9.06545,
Tübingen Falkenweg,48.53985,9.06295,
Tübingen Wolfgang-Stock-Str.,48.53793,9.06441,
Tübingen Hennentalweg,48.51352,9.03911,
Tübingen Biesingerstraße,48.51649,9.04293,
Tübingen Hirschauer Straße,48.51302,9.0397,
Tübingen Ernst-Bloch-Straße,48.51545,9.04217,
Tübingen Rappenberg,48.51205,9.03751,
Tübingen Unteres Burgholz,48.51685,9.03685,
Tübingen Bismarckturm,48.51296,9.03301,
Tübingen Windfeldstraße,48.50908,9.05451,
Tübingen Heinlenstraße,48.50685,9.05434,
Tübingen Memmingerstraße,48.50758,9.05749,
Tübingen Feuerhägle,48.5049,9.05557,
Tübingen Feuerhägle Schulen,48.5049,9.05572,
Tübingen Neuffenstraße,48.50689,9.05133,
Tübingen Feuerhägle Ber.,48.50351,9.05639,
Tübingen Mühlbachäcker,48.50749,9.04889,
Tübingen Brühlstraße,48.50979,9.05153,
Tübingen Derendingen Bhf,48.50376,9.05072,
Tübingen Mühlenviertel,48.50337,9.05259,
Tübingen Gottlob-Braeuning-Str,48.51001,9.04932,
Sielmingen Möhringer Straße,48.6753,9.23716,
Sielmingen Friedrichstraße,48.67643,9.23771,
Sielmingen Rathaus,48.67463,9.23662,
Sielmingen Schul-/Sportzentrum,48.67166,9.2277,
Bernhausen Fleinsbach,48.67344,9.21902,
Sielmingen Reutlinger Straße,48.66941,9.23095,
Sielmingen Friedhof,48.66917,9.23157,
Bernhausen Turnackerstr.,48.67993,9.20626,
Bernhausen Filharmonie,48.67305,9.21436,
Bernh. Luftfrachtzentrum West,48.68105,9.20501,
Bernhausen Nord-West-Umfahrung,48.68106,9.2025,
Bernh. E.-Selbert-Gymnasium,48.67062,9.21319,
Bernhausen TÜV,48.67768,9.19856,
Reutlingen Uhlandstr.,48.48667,9.22183,
Reutlingen Albstr.,48.48491,9.22336,
Pfullingen Porschestraße,48.48169,9.22375,
Reutlingen Betzenried I,48.48779,9.22514,
Reutlingen Klinikum oben,48.48215,9.21687,
Reutlingen Betzenried II,48.48885,9.22646,
Reutlingen Burgstraße,48.49089,9.22276,
Reutlingen Südbahnhof,48.48238,9.23014,
Pfullingen Römer-/Daimlerstr.,48.47881,9.22332,
Reutlingen August-Lämmle-Str.,48.4863,9.22935,
Reutlingen Bismarckstr.,48.49667,9.21259,
Reutlingen Berufsschulzentrum,48.49677,9.21367,
Reutlingen Silberburgstraße,48.49955,9.21461,
Reutlingen Werastr.,48.48052,9.2127,
Reutlingen Stämmesäcker,48.47895,9.2094,
Tübingen F.-Dannenmann-Str.,48.52504,9.03879,
Tübingen Herrenberger Str.,48.52391,9.03949,
Tübingen Kreuzberg,48.52939,9.02301,
Tübingen Gösstraße,48.52501,9.04179,
Tübingen Gartenstraße,48.52034,9.07642,
Tübingen Neckarsulmer Str.,48.51983,9.07854,
Tübingen Schaffhausenstraße,48.5185,9.08373,
Tübingen August-Bebel-Str.,48.51838,9.08018,
Tübingen Hundskapfklinge,48.51923,9.07224,
Tübingen Bismarckstr.,48.51826,9.07489,
Tübingen Eichhaldenstraße,48.53399,9.08572,
Tübingen B.-v.-Suttner-Straße,48.53165,9.0904,
Tübingen Herrlesberg,48.53253,9.09047,
Tübingen Brückenstraße,48.51718,9.06927,
Tübingen WHO Erlenweg,48.54454,9.06437,
Tübingen Ahornweg,48.5422,9.06158,
Tübingen Winkelwiese,48.53844,9.06165,
Tübingen Fichtenweg,48.54228,9.05995,
Tübingen Haußerstraße,48.53588,9.06491,
Tübingen WHO Pappelweg,48.54593,9.06109,
Tübingen Niethammerstraße,48.53623,9.06123,
Sielmingen Alemannenstraße,48.68038,9.24217,
Sielmingen Kantstraße,48.67153,9.24071,
Sielmingen Im Köller,48.68162,9.24131,
Sielmingen Lange Straße,48.66933,9.23668,
Sielmingen Hausäcker,48.66891,9.2436,
Tübingen Weißdornweg,48.54351,9.05774,
Tübingen Waldhäuser Straße,48.5427,9.05483,
Tübingen Ulmenweg,48.54597,9.05717,
Tübingen Maria-von-Linden-Str.,48.54078,9.05465,
Tübingen Horemer,48.54235,9.0528,
Tübingen Max-Planck-Institute,48.53781,9.0573,
Tübingen Sternwarte,48.53834,9.05515,
Tübingen Kielmeyerstraße,48.51881,9.06804,
Tübingen Stäudach,48.53674,9.08942,
Tübingen Stauden,48.53627,9.09248,
Tübingen Auf dem Kreuz,48.53671,9.05399,
Tübingen Schönblick,48.53332,9.05434,
Tübingen Käthe-Kollwitz-Str.,48.53394,9.09268,
Tübingen Burgholzweg,48.51539,9.03298,
Tübingen Haydnweg,48.5438,9.04674,
Tübingen Hans-Geiger-Weg,48.53736,9.05023,
"Tübingen, Robert-Gradmann-Weg",48.5348,9.05269,
Tübingen Frondsbergstraße,48.52949,9.04576,
