source,target,segment_count,journey_count,avg_delay_delta,avg_arrival_delay_next,avg_arrival_delay_current,weight,avg_delay_delta_positive
cz:55100:NVBW_99711,cz:55100:NVBW_11342:0:1,1,1,,0.0,,0.0,
cz:55100:NVBW_11342:0:1,de:09362:11090:5:16,1,1,0.0,0.0,0.0,0.0,0.0
de:09362:11090:5:16,de:09161:9009:3:7,1,1,0.0,0.0,0.0,0.0,0.0
de:09161:9009:3:7,de:09771:2301:0:E,1,1,0.0,0.0,0.0,0.0,0.0
de:09771:2301:0:E,de:09761:432:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:09761:432:0:1,de:08421:1699:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08421:1699:0:1,de:08116:2103:3:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08116:2103:3:1,de:08416:11000,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:11000,ch:23026:62997:0:1,1,1,0.0,0.0,0.0,0.0,0.0
fr:24075:11171:0:Flix,fr:24077:1444:0:Flix,1,1,,0.0,,0.0,
fr:24077:1444:0:Flix,fr:24067:1301,1,1,0.0,0.0,0.0,0.0,0.0
fr:24067:1301,de:08317:14509:1:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08317:14509:1:1,de:08237:1002:2:8,1,1,0.0,0.0,0.0,0.0,0.0
de:08237:1002:2:8,de:08416:11000,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:11000,de:08116:2103:3:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08116:2103:3:1,de:08421:1699:0:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08421:1699:0:1,de:09162:145:17:17,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:11000:4:5,de:08415:22006:2:1,1,1,,7.0,,7.0,
de:08415:22006:2:1,de:08415:22008:3:2,1,1,0.0,7.0,7.0,0.0,0.0
de:08415:22008:3:2,de:08116:5772:1:2,1,1,0.0,7.0,7.0,0.0,0.0
de:08116:5772:1:2,de:08116:2931:2:2,1,1,-1.0,6.0,7.0,-1.0,0.0
de:08116:2931:2:2,de:08116:5770:1:1,1,1,0.0,6.0,6.0,0.0,0.0
de:08116:5770:1:1,de:08116:4257:1:1,1,1,0.0,6.0,6.0,0.0,0.0
de:08116:4257:1:1,de:08116:7802:1:7,1,1,0.0,6.0,6.0,0.0,0.0
de:08116:7802:1:7,de:08116:7800:1:7,1,1,-1.0,5.0,6.0,-1.0,0.0
de:08116:7800:1:7,de:08111:6333:2:1,1,1,0.0,5.0,5.0,0.0,0.0
de:08111:6333:2:1,de:08111:6115:2:3,1,1,0.0,5.0,5.0,0.0,0.0
de:08111:6115:2:3,de:08118:7402:3:1,1,1,-5.0,0.0,5.0,-5.0,0.0
de:08118:7402:3:1,de:08118:1400:4:10,1,1,0.0,0.0,0.0,0.0,0.0
de:08118:1400:4:10,de:08118:5583:1:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08118:5583:1:1,de:08118:5785:1:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08118:5785:1:1,de:08118:5723:1:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08118:5723:1:1,de:08125:1438:3:2,1,1,0.0,0.0,0.0,0.0,0.0
de:08125:1438:3:2,de:08125:8155:2:2,1,1,0.0,0.0,0.0,0.0,0.0
de:08125:8155:2:2,de:08121:26:4:4,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:11000:2:1,de:08416:12001:3:2,2,2,,0.0,,0.0,
de:08416:12001:3:2,de:08416:2002:3:2,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:2002:3:2,de:08415:22003:3:2,2,2,0.0,0.0,0.0,0.0,0.0
de:08415:22003:3:2,de:08415:22004:3:2,2,2,0.0,0.0,0.0,0.0,0.0
de:08415:22004:3:2,de:08415:22005:3:2,2,2,0.0,0.0,0.0,0.0,0.0
de:08415:22005:3:2,de:08415:22006:3:3,1,1,0.0,0.0,0.0,0.0,0.0
de:08415:22005:3:2,de:08415:22006:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:11000:2:13,de:08416:12041:5:1,2,2,,0.0,,0.0,
de:08416:12041:5:1,de:08416:12046:2:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:12046:2:1,de:08416:12043:2:1,3,3,0.0,0.0,0.0,0.0,0.0
de:08416:12043:2:1,de:08416:2043:2:1,3,3,0.0,0.0,0.0,0.0,0.0
de:08416:2043:2:1,de:08416:2044:2:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:2044:2:1,de:08416:5212:2:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:5212:2:1,de:08115:3231:1:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08115:3231:1:1,de:08115:7202:1:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08115:7202:1:1,de:08115:4512:4:102,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:11000:2:13,de:08416:12041:5:2,1,1,,0.0,,0.0,
de:08416:12041:5:2,de:08416:12046:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:2043:2:1,de:08416:2044:2:2,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:11000:4:6,de:08416:12101:2:1,2,2,,0.0,,0.0,
de:08416:12101:2:1,de:08416:2102:1:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:2102:1:1,de:08416:2103:2:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:2103:2:1,de:08416:1006:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:1006:2:1,de:08416:4456:3:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:4456:3:1,de:08416:2106:1:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08416:2106:1:1,de:08417:32107:2:1,2,2,0.0,0.0,0.0,0.0,0.0
de:08417:32107:2:1,de:08417:30104:3:2,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:30104:3:2,de:08417:32109:4:3,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:32109:4:3,de:08417:32110:3:2,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:2103:2:1,de:08416:1006:3:2,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:1006:3:2,de:08416:4456:3:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:32107:2:1,de:08417:30104:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:30104:2:1,de:08417:30752:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:30752:2:1,de:08417:32109:4:3,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:32109:4:3,de:08417:32113:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:32113:2:1,de:08417:32200:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:32200:2:1,de:08417:32115:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:32115:2:1,de:08417:32116:2:Gleis,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:32116:2:Gleis,de:08417:47604:2:1,1,1,0.0,0.0,0.0,0.0,0.0
de:08417:47604:2:1,de:08417:32110:3:2,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:11000:3:12,de:08416:2503:2:1,2,2,,2.5,,2.5,
de:08416:2503:2:1,de:08416:1005:3:2,1,1,-1.0,4.0,5.0,-1.0,0.0
de:08416:1005:3:2,de:08416:2505:2:1,1,1,0.0,4.0,4.0,0.0,0.0
de:08416:2505:2:1,de:08416:2506:3:2,1,1,-1.0,3.0,4.0,-1.0,0.0
de:08416:2506:3:2,de:08237:8031:3:2,1,1,0.0,3.0,3.0,0.0,0.0
de:08237:8031:3:2,de:08237:5212:2:1,1,1,-3.0,0.0,3.0,-3.0,0.0
de:08237:5212:2:1,de:08237:5001:4:6,1,1,0.0,0.0,0.0,0.0,0.0
de:08416:2503:2:1,de:08416:1005:2:1,1,1,0.0,0.0,0.0,0.0,0.0
