stop_point_ref,stop_name,call_count,avg_arrival_delay,avg_departure_delay,median_arrival_delay,median_departure_delay,latitude,longitude
cz:55100:NVBW_99711,Praha Florenc/Busbahnhof,1,,0.0,,0.0,,
cz:55100:NVBW_11342:0:1,Praha Na Knížecí,1,0.0,0.0,0.0,0.0,,
de:09362:11090:5:16,Regensburg Hbf,1,0.0,0.0,0.0,0.0,,
de:09161:9009:3:7,Ingolstadt Nord,1,0.0,0.0,0.0,0.0,,
de:09771:2301:0:E,"Aichach, Bäckerei Zametzer",1,0.0,0.0,0.0,0.0,,
de:09761:432:0:1,"Augsburg, Fernbushaltestelle",1,0.0,0.0,0.0,0.0,,
de:08421:1699:0:1,Ulm Fernbus-Halt,2,0.0,0.0,0.0,0.0,,
de:08116:2103:3:1,Flughafen/Messe,2,0.0,0.0,0.0,0.0,,
de:08416:11000,Tübingen Hauptbahnhof,2,0.0,0.0,0.0,0.0,,
ch:23026:62997:0:1,"Zürich, Bus Station",1,0.0,,0.0,,,
fr:24075:11171:0:Flix,Paris Bercy Seine,1,,0.0,,0.0,,
fr:24077:1444:0:Flix,Chessy Sud,1,0.0,0.0,0.0,0.0,,
fr:24067:1301,Strasbourg Etoile Bourse,1,0.0,0.0,0.0,0.0,,
de:08317:14509:1:1,Offenburg Messe Offenburg,1,0.0,0.0,0.0,0.0,,
de:08237:1002:2:8,FDS Stadtbahnhof,1,0.0,0.0,0.0,0.0,,
de:09162:145:17:17,ZOB,1,0.0,,0.0,,,
de:08416:11000:4:5,Tübingen Hauptbahnhof,1,,8.0,,8.0,,
de:08415:22006:2:1,Reutlingen Hauptbahnhof,2,3.5,7.0,3.5,7.0,,
de:08415:22008:3:2,Metzingen Bahnhof,1,7.0,7.0,7.0,7.0,,
de:08116:5772:1:2,Bempflingen,1,7.0,7.0,7.0,7.0,,
de:08116:2931:2:2,Nürtingen,1,6.0,6.0,6.0,6.0,,
de:08116:5770:1:1,Oberboihingen,1,6.0,6.0,6.0,6.0,,
de:08116:4257:1:1,Wendlingen (N),1,6.0,6.0,6.0,6.0,,
de:08116:7802:1:7,Plochingen,1,6.0,6.0,6.0,6.0,,
de:08116:7800:1:7,Esslingen (N),1,5.0,5.0,5.0,5.0,,
de:08111:6333:2:1,Bad Cannstatt,1,5.0,5.0,5.0,5.0,,
de:08111:6115:2:3,Stuttgart Hauptbahnhof (oben),1,5.0,0.0,5.0,0.0,,
de:08118:7402:3:1,Ludwigsburg,1,0.0,0.0,0.0,0.0,,
de:08118:1400:4:10,Bietigheim,1,0.0,0.0,0.0,0.0,,
de:08118:5583:1:1,Besigheim,1,0.0,0.0,0.0,0.0,,
de:08118:5785:1:1,Walheim,1,0.0,0.0,0.0,0.0,,
de:08118:5723:1:1,Kirchheim (N),1,0.0,0.0,0.0,0.0,,
de:08125:1438:3:2,Lauffen (N),1,0.0,0.0,0.0,0.0,,
de:08125:8155:2:2,Nordheim (Württ),1,0.0,0.0,0.0,0.0,,
de:08121:26:4:4,Heilbronn Hauptbahnhof,1,0.0,,0.0,,,
de:08416:11000:2:1,Tübingen Hauptbahnhof,2,,0.0,,0.0,,
de:08416:12001:3:2,Tübingen Lustnau Bahnhof,2,0.0,0.5,0.0,0.5,,
de:08416:2002:3:2,K'furt Bahnhof,2,0.0,0.5,0.0,0.5,,
de:08415:22003:3:2,Wannweil Bahnhof,2,0.0,0.0,0.0,0.0,,
de:08415:22004:3:2,Betzingen Bahnhof,2,0.0,0.0,0.0,0.0,,
de:08415:22005:3:2,Reutlingen Westbahnhof,2,0.0,0.0,0.0,0.0,,
de:08415:22006:3:3,Reutlingen Hauptbahnhof,1,0.0,,0.0,,,
de:08416:11000:2:13,Tübingen Hauptbahnhof,3,,0.0,,0.0,,
de:08416:12041:5:1,Tübingen Westbahnhof,2,0.0,0.0,0.0,0.0,,
de:08416:12046:2:1,Unterjesingen Sandäcker,3,0.0,0.0,0.0,0.0,,
de:08416:12043:2:1,Unterjesingen Mitte Bf.,3,0.0,0.0,0.0,0.0,,
de:08416:2043:2:1,Pfäffingen Bahnhof,3,0.0,0.0,0.0,0.0,,
